publishedAt,neg,neu,pos,compound
2019-04-04 15:37:55,0.085,0.87,0.046,-0.2023
2019-04-04 15:40:30,0.036,0.86,0.105,0.5106
2019-04-04 15:49:56,0.326,0.674,0.0,-0.9423
2019-04-04 16:05:00,0.0,0.864,0.136,0.6808
2019-04-04 16:22:00,0.0,0.955,0.045,0.2144
2019-04-04 16:22:28,0.0,0.952,0.048,0.2263
2019-04-04 16:57:06,0.0,1.0,0.0,0.0
2019-04-04 17:39:54,0.0,0.825,0.175,0.8519
2019-04-04 17:57:15,0.053,0.947,0.0,-0.3182
2019-04-04 18:00:00,0.0,0.946,0.054,0.25
2019-04-04 18:00:36,0.056,0.827,0.117,0.6124
2019-04-04 18:04:48,0.053,0.947,0.0,-0.3182
2019-04-04 18:04:48,0.053,0.947,0.0,-0.3182
2019-04-04 18:15:42,0.0,1.0,0.0,0.0
2019-04-04 18:16:06,0.053,0.947,0.0,-0.3182
2019-04-04 18:42:37,0.0,1.0,0.0,0.0
2019-04-04 19:04:26,0.0,1.0,0.0,0.0
2019-04-04 19:24:20,0.0,0.848,0.152,0.7345
2019-04-04 19:24:49,0.0,0.913,0.087,0.4019
2019-04-04 19:32:00,0.054,0.85,0.096,0.3164
2019-04-04 19:32:29,0.0,1.0,0.0,0.0
2019-04-04 19:34:39,0.071,0.762,0.167,0.4404
2019-04-04 19:39:07,0.0,0.753,0.247,0.8591
2019-04-04 19:54:01,0.0,0.791,0.209,0.8553
2019-04-04 20:00:53,0.0,0.951,0.049,0.2732
2019-04-04 20:12:57,0.0,0.95,0.05,0.2732
2019-04-04 20:14:00,0.0,1.0,0.0,0.0
2019-04-04 20:14:00,0.0,1.0,0.0,0.0
2019-04-04 20:23:10,0.0,0.901,0.099,0.5719
2019-04-04 20:29:31,0.071,0.762,0.167,0.4404
2019-04-04 20:30:00,0.0,1.0,0.0,0.0
2019-04-04 20:42:39,0.0,1.0,0.0,0.0
2019-04-04 21:00:30,0.0,0.855,0.145,0.6486
2019-04-04 21:02:30,0.0,1.0,0.0,0.0
2019-04-04 21:09:40,0.0,0.84,0.16,0.6486
2019-04-04 21:15:00,0.0,0.951,0.049,0.296
2019-04-04 21:15:56,0.054,0.946,0.0,-0.34
2019-04-04 21:35:48,0.0,1.0,0.0,0.0
2019-04-04 22:16:50,0.021,0.879,0.1,0.6124
2019-04-05 02:25:08,0.237,0.763,0.0,-0.8807
2019-04-05 02:25:08,0.237,0.763,0.0,-0.8807
2019-04-05 05:00:19,0.095,0.905,0.0,-0.5859
2019-04-05 06:19:47,0.039,0.911,0.05,0.1531
2019-04-05 07:14:00,0.182,0.818,0.0,-0.8316
2019-04-05 07:55:54,0.111,0.853,0.036,-0.5423
2019-04-05 08:00:01,0.0,0.889,0.111,0.6705
2019-04-05 09:00:37,0.0,0.794,0.206,0.872
2019-04-05 09:03:48,0.0,0.938,0.062,0.3818
2019-04-05 10:00:11,0.0,0.76,0.24,0.8642
2019-04-05 10:00:42,0.0,0.938,0.062,0.3818
2019-04-05 10:11:41,0.035,0.965,0.0,-0.128
2019-04-05 10:24:32,0.0,1.0,0.0,0.0
2019-04-05 10:45:26,0.034,0.966,0.0,-0.1531
2019-04-05 11:00:35,0.0,1.0,0.0,0.0
2019-04-05 11:47:01,0.069,0.752,0.18,0.4889
2019-04-05 12:54:28,0.0,0.864,0.136,0.7003
2019-04-05 12:59:28,0.0,1.0,0.0,0.0
2019-04-05 13:12:41,0.0,0.963,0.037,0.1779
2019-04-05 13:53:41,0.0,0.969,0.031,0.0258
